artist_name,track_name,duration_ms,album_name,artist_genres,artist_popularity,artist_followers,album_type,album_release_date,audio_features_danceability,audio_features_energy,audio_features_key,audio_features_loudness,audio_features_mode,audio_features_speechiness,audio_features_acousticness,audio_features_instrumentalness,audio_features_liveness,audio_features_valence,audio_features_tempo,audio_features_time_signature
Leslie Odom Jr.,Guns and Ships,127578,Hamilton,"broadway, show tunes, vocal jazz",69.0,271153.0,album,2015-09-25,0.72,0.666,7,-6.914,1,0.328,0.399,0.0,0.0844,0.383,138.03,4
Original Broadway Cast of Hamilton,Yorktown (The World Turned Upside Down),242587,Hamilton,"broadway, show tunes",72.0,447910.0,album,2015-09-25,0.76,0.883,9,-5.397,0,0.25,0.297,0.0,0.727,0.51,98.012,4
Leslie Odom Jr.,Dear Theodosia,184004,Hamilton,"broadway, show tunes, vocal jazz",69.0,271153.0,album,2015-09-25,0.598,0.221,9,-10.484,1,0.0303,0.907,4.19e-05,0.0723,0.274,106.771,4
Leslie Odom Jr.,Non-Stop,385438,Hamilton,"broadway, show tunes, vocal jazz",69.0,271153.0,album,2015-09-25,0.77,0.482,6,-9.529,1,0.351,0.211,0.0,0.223,0.441,91.994,4
Daveed Diggs,What'd I Miss,236701,Hamilton,"alternative hip hop, show tunes",68.0,115362.0,album,2015-09-25,0.539,0.577,7,-7.763,1,0.386,0.169,0.0,0.14,0.319,177.787,4
Phillipa Soo,Take A Break,286485,Hamilton,"broadway, show tunes",64.0,78037.0,album,2015-09-25,0.552,0.371,4,-9.426,1,0.227,0.587,0.0,0.18,0.587,81.548,4
Jasmine Cephas-Jones,Say No To This,242017,Hamilton,show tunes,53.0,42261.0,album,2015-09-25,0.754,0.535,9,-8.156,1,0.305,0.464,0.0,0.19,0.395,81.035,4
Anthony Ramos,Schuyler Defeated,63558,Hamilton,show tunes,65.0,151260.0,album,2015-09-25,0.745,0.597,0,-10.422,1,0.257,0.236,0.0,0.157,0.842,102.108,4
Lin-Manuel Miranda,We Know,142044,Hamilton,"broadway, show tunes",71.0,659157.0,album,2015-09-25,0.718,0.484,11,-10.376,1,0.523,0.312,0.0,0.127,0.692,113.855,4
Lin-Manuel Miranda,Hurricane,143551,Hamilton,"broadway, show tunes",71.0,659157.0,album,2015-09-25,0.453,0.546,0,-7.952,1,0.309,0.762,0.0,0.0965,0.398,171.289,5
Original Broadway Cast of Hamilton,The Reynolds Pamphlet,128470,Hamilton,"broadway, show tunes",72.0,447910.0,album,2015-09-25,0.751,0.573,0,-8.539,0,0.226,0.0277,0.0,0.129,0.538,141.999,4
Phillipa Soo,Burn,225240,Hamilton,"broadway, show tunes",64.0,78037.0,album,2015-09-25,0.582,0.428,2,-9.13,1,0.0516,0.752,0.0,0.102,0.255,99.608,3
Anthony Ramos,Blow Us All Away,173594,Hamilton,show tunes,65.0,151260.0,album,2015-09-25,0.82,0.451,9,-10.177,1,0.461,0.388,0.0,0.563,0.665,88.566,4
Lin-Manuel Miranda,Stay Alive - Reprise,111553,Hamilton,"broadway, show tunes",71.0,659157.0,album,2015-09-25,0.546,0.246,0,-13.754,0,0.26,0.535,0.0,0.0801,0.427,160.031,4
Renée Elise Goldsberry,It's Quiet Uptown,270171,Hamilton,"broadway, show tunes",60.0,38830.0,album,2015-09-25,0.484,0.187,5,-14.076,1,0.0423,0.796,0.0,0.0785,0.227,129.753,4
Phillipa Soo,Best of Wives and Best of Women,47943,Hamilton,"broadway, show tunes",64.0,78037.0,album,2015-09-25,0.647,0.115,5,-16.826,1,0.0544,0.751,0.0,0.0858,0.597,131.508,4
Leslie Odom Jr.,The World Was Wide Enough,302191,Hamilton,"broadway, show tunes, vocal jazz",69.0,271153.0,album,2015-09-25,0.653,0.351,5,-12.776,1,0.648,0.467,0.0,0.107,0.307,116.6,3
Original Broadway Cast of Hamilton,"Who Lives, Who Dies, Who Tells Your Story",217229,Hamilton,"broadway, show tunes",72.0,447910.0,album,2015-09-25,0.353,0.326,2,-9.687,1,0.0901,0.777,0.0,0.0904,0.156,75.5,4
Jordan Fisher,You're Welcome - Jordan Fisher/Lin-Manuel Miranda Version,137426,Moana,"movie tunes, post-teen pop",56.0,437649.0,compilation,2016-11-18,0.468,0.432,0,-10.382,1,0.1,0.0613,0.0,0.0533,0.393,101.097,3
Ashanti,Helpless (feat. Ja Rule),215373,Helpless (feat. Ja Rule) [from The Hamilton Mixtape],"dance pop, hip pop, r&b, urban contemporary",70.0,3092154.0,single,2016-11-25,0.681,0.656,5,-5.888,1,0.235,0.186,0.0,0.161,0.497,80.976,4
Mike Faist,"Sincerely, Me",222960,Dear Evan Hansen (Original Broadway Cast Recording),"broadway, show tunes",46.0,14567.0,compilation,2017-02-03,0.677,0.731,7,-5.708,1,0.12,0.168,0.0,0.103,0.603,97.864,4
Ben Platt,For Forever,301013,Dear Evan Hansen (Original Broadway Cast Recording),show tunes,62.0,499920.0,compilation,2017-02-03,0.371,0.457,5,-7.674,1,0.0407,0.222,0.0,0.0882,0.166,96.269,4
Rachel Bay Jones,Anybody Have a Map?,146853,Dear Evan Hansen (Original Broadway Cast Recording),"broadway, show tunes",43.0,33521.0,compilation,2017-02-03,0.634,0.603,7,-6.374,1,0.258,0.234,0.0,0.536,0.744,107.768,4
Ben Platt,If I Could Tell Her,248653,Dear Evan Hansen (Original Broadway Cast Recording),show tunes,62.0,499920.0,compilation,2017-02-03,0.584,0.312,4,-8.249,1,0.0405,0.647,0.0,0.152,0.455,96.026,4
Ben Platt,You Will Be Found,360906,Dear Evan Hansen (Original Broadway Cast Recording),show tunes,62.0,499920.0,compilation,2017-02-03,0.293,0.624,9,-7.13,1,0.0613,0.0865,0.0,0.0874,0.213,87.335,4
La La Land Cast,"Another Day Of Sun - From ""La La Land"" Soundtrack",228173,La La Land,,47.0,14529.0,compilation,2016-12-09,0.584,0.752,8,-6.689,1,0.058,0.018,3.73e-06,0.647,0.791,125.797,4
!llmind,Take A Break - Interlude,48386,The Hamilton Mixtape,,28.0,5017.0,album,2016-12-02,0.805,0.414,1,-10.608,0,0.516,0.092,0.719,0.0723,0.527,161.707,4
Terry Jacks,Seasons in the Sun (Remastered),206384,Starfish On the Beach,"bubblegum pop, classic uk pop",47.0,35896.0,album,2015-05-27,0.615,0.652,6,-7.8,1,0.0359,0.79,0.0,0.285,0.868,100.134,4
Elvis Presley,A Little Less Conversation - JXL Radio Edit Remix,211186,Elvis Forever: The Best of Elvis Presley,"rock-and-roll, rockabilly",77.0,9544412.0,compilation,2017-07-27,0.586,0.927,11,-9.501,0,0.0465,0.000156,0.25,0.167,0.692,114.994,4
Melody Gardot,Preacherman,270280,Currency Of Man,"contemporary vocal jazz, vocal jazz",58.0,695688.0,album,2015-05-29,0.507,0.57,9,-8.1,1,0.0331,0.357,0.0136,0.336,0.269,85.935,4
Skylar Grey,"I Know You - From The ""Fifty Shades Of Grey"" Soundtrack",299306,I Know You,"piano rock, viral pop",66.0,596407.0,single,2015-02-03,0.421,0.409,5,-7.641,0,0.0318,0.354,0.0,0.107,0.152,147.88,4
Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey""",252534,Delirium,"indietronica, metropopolis, pop, uk pop",78.0,12440844.0,album,2015-11-06,0.262,0.606,8,-6.646,1,0.0484,0.247,0.0,0.125,0.275,189.857,4
Rihanna,Close To You,223226,ANTI,"barbadian pop, pop, urban contemporary",89.0,60649863.0,album,2016-01-28,0.494,0.17,10,-11.368,1,0.0337,0.895,0.0,0.139,0.145,80.098,4
Robin Schulz,Yellow,216409,SUGAR,"deep euro house, deep house, edm, german dance, pop dance, tropical house",76.0,3090329.0,album,2015-09-25,0.543,0.629,7,-6.841,0,0.0855,0.0339,0.0,0.128,0.259,121.955,4
Pablo Alborán,Remember me - Live from Spotify NYC,307540,Pablo Alborán Spotify Sessions,"latin arena pop, latin pop, spanish pop",72.0,5005806.0,single,2016-02-12,0.421,0.206,2,-10.444,0,0.0507,0.872,0.0,0.706,0.286,142.427,4
Pablo Alborán,Pasos de cero - Live from Spotify NYC,266104,Pablo Alborán Spotify Sessions,"latin arena pop, latin pop, spanish pop",72.0,5005806.0,single,2016-02-12,0.535,0.393,5,-7.922,1,0.322,0.81,0.0,0.152,0.498,93.913,4
Peppino Gagliardi,Che vuole questa musica stasera,237586,"La mia storia, la mia musica... tutto continua",classic italian pop,43.0,31537.0,album,2015-05-06,0.292,0.406,0,-10.515,0,0.0341,0.629,4.1e-05,0.189,0.211,182.279,3
Moxie Raia,On My Mind,296133,931 Reloaded,indie poptimism,32.0,19967.0,album,2016-11-04,0.623,0.727,7,-4.305,1,0.0676,0.0286,0.0,0.0665,0.23,87.152,4
ZHU,Faded - Original Mix,223484,The Nightday,"edm, electro house",62.0,908228.0,album,2015-05-04,0.862,0.474,9,-7.194,0,0.0488,0.00837,0.117,0.123,0.59,124.965,4
CHVRCHES,Leave A Trace - Goldroom Remix,299062,Leave A Trace,"indietronica, metropopolis, neo-synthpop, shimmer pop",60.0,1386665.0,single,2015-12-18,0.722,0.789,9,-5.484,1,0.041,0.168,0.0177,0.0913,0.043,112.001,4
Jasmine Thompson,Ain't Nobody (Loves Me Better) - Acoustic,178469,Adore,viral pop,64.0,870710.0,album,2015-09-18,0.422,0.243,2,-8.493,0,0.0346,0.848,0.0,0.111,0.227,92.831,4
Duke Dumont,Ocean Drive,206320,Ocean Drive,"edm, house, pop dance, progressive house, uk dance",65.0,726342.0,single,2015-07-31,0.689,0.711,8,-5.027,0,0.0455,0.00714,0.000499,0.135,0.566,115.048,4
Drake,Keep The Family Close,328906,Views,"canadian hip hop, canadian pop, hip hop, pop rap, rap",94.0,90004537.0,album,2016-05-06,0.378,0.566,9,-7.685,0,0.0482,0.149,0.0,0.382,0.196,87.691,3
Marian Hill,Down,197773,ACT ONE,electropop,51.0,469306.0,album,2016-06-20,0.593,0.362,0,-14.701,0,0.273,0.684,0.00294,0.125,0.0522,169.998,4
Galantis,Rich Boy,183784,Rich Boy,"dance pop, edm, pop, pop dance",71.0,3355019.0,single,2017-02-16,0.738,0.901,1,-2.212,1,0.0452,0.0706,0.0139,0.0753,0.646,109.987,4
Shawn Mendes,Something Big,161440,Handwritten,"canadian pop, pop, viral pop",80.0,42801599.0,album,2015-04-13,0.694,0.854,7,-3.891,0,0.043,0.00614,0.0,0.158,0.803,112.007,4
San Holo,Light,239853,Light (Remixes) - EP,"brostep, edm, electro house, electronic trap, future bass, pop dance",53.0,689881.0,single,2017-06-23,0.57,0.763,1,-4.137,1,0.0573,0.0857,2.49e-06,0.0932,0.43,150.088,4
Excision,Codename X,201456,Codename X,"brostep, canadian electronic, filthstep",60.0,730639.0,album,2015-02-10,0.443,0.974,1,-2.391,1,0.411,0.000579,0.236,0.182,0.0916,173.994,4
Excision,Live Wire,252178,Codename X,"brostep, canadian electronic, filthstep",60.0,730639.0,album,2015-02-10,0.304,0.973,0,-1.977,1,0.16,3.86e-05,0.687,0.42,0.274,110.026,4
Excision,Float Away,242489,Codename X,"brostep, canadian electronic, filthstep",60.0,730639.0,album,2015-02-10,0.405,0.902,0,-3.096,1,0.0687,2.68e-05,0.802,0.0846,0.177,74.953,4
Excision,Out of Time,228965,Codename X,"brostep, canadian electronic, filthstep",60.0,730639.0,album,2015-02-10,0.458,0.935,5,-1.791,0,0.0703,1.82e-05,0.0927,0.347,0.0383,174.162,4
Excision,X Up,242758,Codename X,"brostep, canadian electronic, filthstep",60.0,730639.0,album,2015-02-10,0.593,0.964,10,-3.345,0,0.112,0.0106,1.37e-06,0.133,0.148,87.095,4
Excision,Robo Kitty,250285,Codename X,"brostep, canadian electronic, filthstep",60.0,730639.0,album,2015-02-10,0.637,0.98,9,-0.118,1,0.203,0.000502,0.00146,0.214,0.485,140.066,4
Excision,Push It Up,230426,Codename X,"brostep, canadian electronic, filthstep",60.0,730639.0,album,2015-02-10,0.631,0.947,6,-3.035,0,0.0747,0.000577,0.855,0.615,0.0396,132.018,4
Excision,Bring the Madness,205172,Codename X,"brostep, canadian electronic, filthstep",60.0,730639.0,album,2015-02-10,0.644,0.928,4,-2.215,0,0.228,0.0047,2.46e-05,0.123,0.541,174.123,4
Excision,Night Shine,260472,Codename X,"brostep, canadian electronic, filthstep",60.0,730639.0,album,2015-02-10,0.578,0.945,5,-2.756,0,0.0398,6.9e-05,0.0762,0.112,0.104,140.072,4
Excision,Interstellar,243827,Codename X,"brostep, canadian electronic, filthstep",60.0,730639.0,album,2015-02-10,0.497,0.739,8,-2.324,1,0.0514,0.00161,0.00426,0.215,0.312,103.07,4
Grabbitz,Here With You Now,267728,Friends EP,brostep,57.0,107411.0,single,2015-04-27,0.561,0.737,6,-3.898,0,0.041,0.000689,0.00347,0.435,0.194,174.072,4
Infected Mushroom,Kafkaf,347076,Friends On Mushrooms (Deluxe Edition),psychedelic trance,54.0,733972.0,album,2015-01-02,0.619,0.719,4,-7.018,0,0.041,0.216,0.904,0.649,0.255,130.016,4
Infected Mushroom,Bass Nipple,293987,Friends On Mushrooms (Deluxe Edition),psychedelic trance,54.0,733972.0,album,2015-01-02,0.62,0.892,5,-4.141,0,0.0535,0.0569,0.729,0.237,0.306,130.015,4
Infected Mushroom,Kipod - Original Mix,420413,Friends On Mushrooms (Deluxe Edition),psychedelic trance,54.0,733972.0,album,2015-01-02,0.702,0.585,7,-6.981,1,0.0473,0.184,0.893,0.0673,0.473,145.02,4
Infected Mushroom,Kazabubu,384000,Friends On Mushrooms (Deluxe Edition),psychedelic trance,54.0,733972.0,album,2015-01-02,0.713,0.632,1,-7.425,1,0.0525,0.21,0.88,0.107,0.22,130.011,4
Infected Mushroom,Rise Up - Original Mix,329142,Friends On Mushrooms (Deluxe Edition),psychedelic trance,54.0,733972.0,album,2015-01-02,0.358,0.729,9,-6.836,0,0.0391,0.181,0.0391,0.0859,0.136,103.32,3
Infected Mushroom,Mambacore,258964,Friends On Mushrooms (Deluxe Edition),psychedelic trance,54.0,733972.0,album,2015-01-02,0.729,0.757,2,-5.482,1,0.0694,0.0319,0.884,0.102,0.443,109.987,4
Infected Mushroom,Where Do I Belong,206484,Friends On Mushrooms (Deluxe Edition),psychedelic trance,54.0,733972.0,album,2015-01-02,0.698,0.842,5,-3.971,0,0.231,0.542,1.62e-06,0.17,0.945,167.98,4
Infected Mushroom,Astrix On Mushrooms,596398,Friends On Mushrooms (Deluxe Edition),psychedelic trance,54.0,733972.0,album,2015-01-02,0.656,0.865,2,-6.043,1,0.0535,0.00696,0.845,0.103,0.351,138.002,4
Infected Mushroom,Who Is There - Original Mix,244153,Friends On Mushrooms (Deluxe Edition),psychedelic trance,54.0,733972.0,album,2015-01-02,0.706,0.599,5,-5.007,0,0.0457,0.0719,0.772,0.114,0.52,130.022,4
Infected Mushroom,Bark - Original Mix,249000,Friends On Mushrooms (Deluxe Edition),psychedelic trance,54.0,733972.0,album,2015-01-02,0.434,0.879,9,-5.865,0,0.0907,0.0289,0.587,0.092,0.854,104.977,3
Infected Mushroom,See Me Now,320000,Friends On Mushrooms (Deluxe Edition),psychedelic trance,54.0,733972.0,album,2015-01-02,0.631,0.875,1,-5.249,1,0.0509,0.0336,0.689,0.161,0.61,120.037,4
Infected Mushroom,Kipod (RIOT Remix),347676,Friends On Mushrooms (Deluxe Edition),psychedelic trance,54.0,733972.0,album,2015-01-02,0.584,0.894,7,-4.698,1,0.0622,0.0187,0.13,0.0959,0.422,140.003,4
Headhunterz,United Kids of the World,255693,Krewella (Hits Japan Special Edition),"classic hardstyle, euphoric hardstyle, melbourne bounce international",55.0,491330.0,album,2016-12-23,0.56,0.881,7,-5.043,1,0.0464,0.0313,1.67e-06,0.102,0.319,150.092,4
A$AP Rocky,Multiply,223053,AT.LONG.LAST.A$AP,"east coast hip hop, hip hop, rap",83.0,14335850.0,album,2015-06-17,0.9,0.778,0,-4.471,1,0.158,0.0914,0.0,0.145,0.181,115.003,4
Big Sean,All Your Fault,224386,Dark Sky Paradise,"detroit hip hop, hip hop, pop rap, r&b, rap, southern hip hop, trap",74.0,11119036.0,album,2015-02-23,0.813,0.737,5,-4.395,0,0.22,0.308,0.0,0.275,0.545,100.041,4
Pusha T,Intro,153440,King Push – Darkest Before Dawn: The Prelude,"gangster rap, hip hop, pop rap, rap, southern hip hop, trap, virginia hip hop",70.0,2936764.0,album,2015-12-18,0.691,0.578,8,-6.066,1,0.285,0.012,0.0,0.191,0.17,92.929,4
Kanye West,All Day,310906,All Day,"chicago rap, hip hop, rap",90.0,25771898.0,single,2015-03-02,0.861,0.651,9,-4.718,0,0.111,0.0739,0.0,0.211,0.421,122.985,4
Boogie,Oh My,237533,Oh My,"canadian hip hop, deep underground hip hop, indie hip hop, underground hip hop",54.0,324692.0,single,2015-08-13,0.542,0.717,5,-7.478,1,0.0791,0.000116,0.484,0.171,0.299,137.867,4
Young Thug,Halftime,226733,Barter 6,"atl hip hop, atl trap, gangster rap, melodic rap, rap, trap",82.0,10050220.0,album,2015-04-16,0.71,0.486,11,-6.221,0,0.251,0.0641,0.0,0.112,0.17,133.284,4
Keith Ape,"IT G MA REMIX (feat. A$AP Ferg, Father, Dumbfoundead, Waka Flocka Flame)",300000,"IT G MA REMIX (feat. A$AP Ferg, Father, Dumbfoundead, Waka Flocka Flame)","korean trap, underground hip hop",44.0,300391.0,single,2015-07-27,0.787,0.743,1,-4.206,1,0.0642,0.061,0.0,0.294,0.454,102.076,4
Travis Scott,Piss On Your Grave,166320,Rodeo,"rap, slap house",92.0,30238424.0,album,2015-09-04,0.553,0.54,1,-5.687,1,0.0904,0.00789,1.04e-06,0.158,0.162,116.876,4
Leaf,Nada,212186,Trinity,nyc rap,20.0,7384.0,album,2017-08-18,0.869,0.485,9,-5.274,0,0.0852,0.0679,3.64e-06,0.219,0.522,128.986,4
Desiigner,Caliber,123411,New English,"pop rap, rap, southern hip hop, trap, viral trap",59.0,3500060.0,album,2016-06-26,0.75,0.808,10,-2.032,0,0.084,0.0543,0.000198,0.516,0.263,140.158,4
Travis Scott,3500,461840,Rodeo,"rap, slap house",92.0,30238424.0,album,2015-09-04,0.781,0.595,8,-6.069,0,0.155,0.113,2.48e-06,0.13,0.338,123.973,4
Travis Scott,90210,339066,Rodeo,"rap, slap house",92.0,30238424.0,album,2015-09-04,0.402,0.527,9,-6.737,0,0.0917,0.113,8.48e-06,0.105,0.31,81.42,4
A$AP Mob,Yamborghini High,302004,Yamborghini High,"hip hop, rap, southern hip hop, trap",56.0,2150992.0,single,2016-01-29,0.838,0.765,7,-6.299,1,0.28,0.0283,1.5e-05,0.0779,0.635,137.767,4
Kanye West,Facts (Charlie Heat Version),200733,The Life Of Pablo,"chicago rap, hip hop, rap",90.0,25771898.0,album,2016-06-10,0.777,0.662,1,-3.761,0,0.143,0.0518,0.0,0.168,0.4,142.059,4
Daryl Hall & John Oates,Out of Touch - Remastered,248173,Timeless Classics,"album rock, classic rock, mellow gold, rock, singer-songwriter, soft rock, yacht rock",76.0,2430328.0,album,2017-10-20,0.788,0.749,9,-6.056,0,0.0379,0.0512,0.000137,0.0887,0.923,115.01,4
Southern Creek Players,Gangsta's Paradise (from Dangerous Minds),242230,Television and Movie Themes,,28.0,1415.0,album,2015-06-03,0.702,0.413,8,-5.016,1,0.0484,0.016,0.0,0.13,0.262,79.99,4
Tomppabeats,Emotional Crank,74594,Harbor,"chillhop, japanese chillhop, lo-fi beats",52.0,228940.0,album,2016-05-06,0.726,0.329,9,-10.583,1,0.0929,0.908,0.00943,0.36,0.346,148.102,4
George Michael,Freedom! '90 - Remastered,390861,Listen Without Prejudice / MTV Unplugged,"new wave pop, soft rock",71.0,4826919.0,album,2017-10-20,0.677,0.852,5,-10.856,1,0.0449,0.225,4.04e-05,0.0595,0.93,91.689,4
Billy Ocean,Caribbean Queen (No More Love On the Run),244320,Here You Are: The Best of Billy Ocean,"disco, mellow gold, new romantic, new wave pop, soft rock, yacht rock",63.0,1192550.0,compilation,2016-04-29,0.791,0.693,5,-6.112,1,0.0264,0.169,3.26e-05,0.0889,0.956,113.806,4
Video Game Players,"DuckTales (The Moon Theme) [From ""Duck Tales""]",94640,Classic Video Game Songs,,50.0,60568.0,album,2015-01-04,0.417,0.385,11,-9.035,1,0.045,0.574,0.896,0.0639,0.379,180.91,1
Collie Buddz,"Wake & Bake (feat. IAMSU!, Berner)",198762,"Wake & Bake (feat. IAMSU!, Berner)","dancehall, reggae fusion",63.0,397054.0,single,2015-09-30,0.893,0.776,11,-8.154,1,0.0713,0.224,0.0,0.0932,0.867,122.995,4
Kiko Bun,Where I'm From,189001,Where I’m From,"british soul, uk reggae",40.0,24216.0,single,2015-04-13,0.552,0.698,6,-5.367,0,0.263,0.0979,0.000363,0.15,0.698,77.143,4
Bring Me The Horizon,Sleepwalking,230090,2004 - 2013,"melodic metalcore, metalcore, modern rock, rock, uk metalcore",81.0,5644075.0,compilation,2017-11-24,0.4,0.963,2,-3.28,0,0.109,0.000244,5.37e-06,0.279,0.305,148.901,4
Bring Me The Horizon,What You Need,251986,That's The Spirit,"melodic metalcore, metalcore, modern rock, rock, uk metalcore",81.0,5644075.0,album,2015-09-04,0.511,0.946,1,-4.273,0,0.0694,1.23e-05,0.00318,0.174,0.556,147.995,4
Bring Me The Horizon,Avalanche,262026,That's The Spirit,"melodic metalcore, metalcore, modern rock, rock, uk metalcore",81.0,5644075.0,album,2015-09-04,0.41,0.931,7,-4.084,0,0.0704,2.68e-05,0.00616,0.112,0.317,160.048,4
Bring Me The Horizon,Doomed,274120,That's The Spirit,"melodic metalcore, metalcore, modern rock, rock, uk metalcore",81.0,5644075.0,album,2015-09-04,0.479,0.904,6,-4.546,0,0.0822,0.00183,1.5e-05,0.221,0.231,147.057,4
Bring Me The Horizon,Run,222773,That's The Spirit,"melodic metalcore, metalcore, modern rock, rock, uk metalcore",81.0,5644075.0,album,2015-09-04,0.483,0.927,11,-4.729,0,0.0742,0.00238,7.04e-05,0.0635,0.335,134.976,4
Bring Me The Horizon,Blasphemy,275026,That's The Spirit,"melodic metalcore, metalcore, modern rock, rock, uk metalcore",81.0,5644075.0,album,2015-09-04,0.434,0.857,10,-4.137,0,0.0381,0.0001,0.0,0.371,0.454,77.02,4
Bring Me The Horizon,Oh No,301026,That's The Spirit,"melodic metalcore, metalcore, modern rock, rock, uk metalcore",81.0,5644075.0,album,2015-09-04,0.503,0.836,0,-5.476,1,0.0484,0.00551,1.82e-05,0.112,0.106,115.016,4
Bring Me The Horizon,Happy Song,239293,That's The Spirit,"melodic metalcore, metalcore, modern rock, rock, uk metalcore",81.0,5644075.0,album,2015-09-04,0.296,0.912,5,-3.433,1,0.0645,3.45e-05,0.00264,0.389,0.276,171.931,4
Capsize,Tear Me Apart,220746,A Reintroduction: The Essence of All That Surrounds Me,melodic hardcore,21.0,28975.0,album,2016-07-22,0.46,0.989,4,-2.262,0,0.078,0.00126,0.000282,0.36,0.331,88.998,4
Capsize,XX (Sew My Eyes),238480,A Reintroduction: The Essence of All That Surrounds Me,melodic hardcore,21.0,28975.0,album,2016-07-22,0.187,0.978,1,-2.342,1,0.0929,0.000204,9.1e-06,0.375,0.231,159.643,3
Capsize,I Think It's Best We Don't Talk Anymore,202560,A Reintroduction: The Essence of All That Surrounds Me,melodic hardcore,21.0,28975.0,album,2016-07-22,0.305,0.986,2,-1.242,0,0.079,9.94e-05,0.0495,0.344,0.231,165.222,4
Beartooth,Aggressive,248347,Aggressive,"melodic metalcore, metalcore, pop punk",60.0,777498.0,album,2016-06-03,0.604,0.987,2,-3.577,1,0.223,0.000667,9.04e-05,0.37,0.287,119.014,4
Beartooth,Loser,239360,Aggressive,"melodic metalcore, metalcore, pop punk",60.0,777498.0,album,2016-06-03,0.504,0.961,8,-3.206,1,0.0685,9.22e-05,0.000355,0.423,0.67,170.016,4
Beartooth,However You Want It Said,197202,Aggressive,"melodic metalcore, metalcore, pop punk",60.0,777498.0,album,2016-06-03,0.434,0.966,0,-3.601,1,0.1,3.45e-05,0.0015,0.369,0.43,167.871,4
Beartooth,Hated,211430,Aggressive,"melodic metalcore, metalcore, pop punk",60.0,777498.0,album,2016-06-03,0.458,0.99,8,-3.717,1,0.183,0.000285,0.000893,0.454,0.46,166.904,4
Beartooth,Sick Of Me,195560,Aggressive,"melodic metalcore, metalcore, pop punk",60.0,777498.0,album,2016-06-03,0.609,0.974,5,-3.556,1,0.0636,4.11e-05,0.00681,0.418,0.498,113.97,4
Beartooth,Burnout,184695,Aggressive,"melodic metalcore, metalcore, pop punk",60.0,777498.0,album,2016-06-03,0.417,0.993,7,-3.212,1,0.242,5.06e-05,0.00994,0.0731,0.18,199.967,4
Beartooth,Rock Is Dead,224440,Aggressive,"melodic metalcore, metalcore, pop punk",60.0,777498.0,album,2016-06-03,0.515,0.978,7,-3.218,1,0.0851,3.1e-05,0.121,0.212,0.546,92.512,4
Beartooth,King Of Anything,131818,Aggressive,"melodic metalcore, metalcore, pop punk",60.0,777498.0,album,2016-06-03,0.378,0.881,8,-8.436,1,0.0725,0.571,0.0,0.0851,0.174,89.546,4
BKAYE,Burn Fast (BKAYE Remix),256306,Burn Fast (BKAYE Remix),stutter house,48.0,29718.0,single,2016-04-12,0.563,0.817,1,-6.155,1,0.0381,0.0932,6.79e-06,0.358,0.553,102.016,4
Skillet,Back From the Dead,213586,Unleashed,"alternative metal, christian alternative rock, christian music, christian rock",72.0,5116170.0,album,2016-08-05,0.571,0.967,9,-3.717,1,0.0716,0.00642,5.8e-06,0.227,0.712,161.962,4
Ice Nine Kills,Communion Of The Cursed,270413,Every Trick In The Book,metalcore,64.0,910424.0,album,2015-12-04,0.401,0.992,1,-3.023,1,0.162,0.0016,0.0001,0.0824,0.143,150.149,4
Ice Nine Kills,"Me, Myself & Hyde",244573,Every Trick In The Book,metalcore,64.0,910424.0,album,2015-12-04,0.227,0.984,1,-3.638,0,0.389,0.00225,2.3e-06,0.0638,0.059,84.803,4
Of Mice & Men,Something To Hide,210911,Restoring Force: Full Circle,"alternative metal, melodic metalcore, metalcore, pop punk, post-grunge",60.0,1288195.0,album,2015-02-20,0.5,0.942,7,-4.896,1,0.0848,4.2e-05,0.0,0.0568,0.305,97.46,4
Of Mice & Men,Broken Generation,221949,Restoring Force: Full Circle,"alternative metal, melodic metalcore, metalcore, pop punk, post-grunge",60.0,1288195.0,album,2015-02-20,0.357,0.932,6,-4.196,1,0.0827,1.01e-05,0.00093,0.0395,0.339,169.872,3
A Day To Remember,Bad Vibrations,213817,Bad Vibrations,"alternative metal, metalcore, neon pop punk, pop punk, screamo",68.0,2327809.0,album,2016-09-02,0.549,0.995,4,-4.141,1,0.17,7.69e-05,0.0,0.12,0.0602,128.083,4
A Day To Remember,Paranoia,200676,Bad Vibrations,"alternative metal, metalcore, neon pop punk, pop punk, screamo",68.0,2327809.0,album,2016-09-02,0.409,0.992,3,-2.803,0,0.108,4.82e-05,2.03e-06,0.1,0.344,149.859,4
A Day To Remember,Naivety,199390,Bad Vibrations,"alternative metal, metalcore, neon pop punk, pop punk, screamo",68.0,2327809.0,album,2016-09-02,0.351,0.979,0,-3.621,1,0.132,0.000124,3.46e-06,0.255,0.333,174.734,4
A Day To Remember,Bullfight,275550,Bad Vibrations,"alternative metal, metalcore, neon pop punk, pop punk, screamo",68.0,2327809.0,album,2016-09-02,0.356,0.954,8,-3.543,1,0.109,0.000148,0.0,0.0521,0.249,160.401,4
A Day To Remember,Justified,238020,Bad Vibrations,"alternative metal, metalcore, neon pop punk, pop punk, screamo",68.0,2327809.0,album,2016-09-02,0.376,0.894,5,-5.305,0,0.0775,0.000487,0.00132,0.105,0.0433,126.287,4
