artist_name,track_name,duration_ms,album_name,artist_genres,artist_popularity,artist_followers,album_type,album_release_date,audio_features_danceability,audio_features_energy,audio_features_key,audio_features_loudness,audio_features_mode,audio_features_speechiness,audio_features_acousticness,audio_features_instrumentalness,audio_features_liveness,audio_features_valence,audio_features_tempo,audio_features_time_signature
Yung Lean,Shine - Bonus Track,291106,Warlord (Deluxe),"cloud rap, psychedelic hip hop, underground hip hop",65.0,941985.0,album,2016-02-25,0.607,0.594,4,-9.187,0,0.0306,0.198,0.0114,0.0802,0.109,127.078,4
Yung Lean,Back at It,116120,Frost God,"cloud rap, psychedelic hip hop, underground hip hop",65.0,941985.0,album,2016-12-14,0.645,0.642,1,-8.587,1,0.403,0.0217,2.05e-05,0.0548,0.276,160.075,4
Yung Lean,Hop Out,165853,Frost God,"cloud rap, psychedelic hip hop, underground hip hop",65.0,941985.0,album,2016-12-14,0.809,0.62,8,-5.106,1,0.0354,0.0151,0.00961,0.112,0.121,130.025,4
Yung Lean,Hennessy & Sailor Moon,254440,Frost God,"cloud rap, psychedelic hip hop, underground hip hop",65.0,941985.0,album,2016-12-14,0.676,0.486,0,-9.732,1,0.0302,0.124,0.126,0.0937,0.218,120.994,4
Yung Lean,Cashin,226320,Frost God,"cloud rap, psychedelic hip hop, underground hip hop",65.0,941985.0,album,2016-12-14,0.632,0.294,10,-15.016,1,0.0697,0.766,0.000639,0.0899,0.114,114.045,3
Yung Lean,Crystal City,245840,Frost God,"cloud rap, psychedelic hip hop, underground hip hop",65.0,941985.0,album,2016-12-14,0.649,0.684,6,-5.65,1,0.0561,0.0861,0.0,0.102,0.224,122.016,4
Yung Lean,Kirby,143666,Frost God,"cloud rap, psychedelic hip hop, underground hip hop",65.0,941985.0,album,2016-12-14,0.569,0.443,2,-10.201,0,0.0399,0.762,0.00407,0.0765,0.13,97.992,4
Yung Lean,Head 2 Toe,197346,Frost God,"cloud rap, psychedelic hip hop, underground hip hop",65.0,941985.0,album,2016-12-14,0.57,0.781,10,-6.616,0,0.0383,0.0378,1.27e-06,0.117,0.274,143.081,4
Yung Lean,Get It Back,150920,Frost God,"cloud rap, psychedelic hip hop, underground hip hop",65.0,941985.0,album,2016-12-14,0.606,0.508,4,-9.911,1,0.0447,0.327,0.0,0.238,0.305,131.906,4
Yung Bans,No Mercy,179390,No Mercy,"cloud rap, plugg, trap, underground hip hop",50.0,809024.0,single,2017-05-19,0.751,0.485,8,-8.724,1,0.108,0.00205,0.0,0.324,0.291,139.961,4
